,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__reg_alpha,param_classifier__reg_lambda,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,2.9100629806518556,0.03160455699219613,0.014612531661987305,0.0020788857035703204,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",0.33949727446068867,0.1279267793036371,4,2061,20.87578982414735,97.94412868470916,0.4880218507216868,"OrderedDict([('classifier', XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)), ('classifier__colsample_bytree', 0.33949727446068867), ('classifier__learning_rate', 0.1279267793036371), ('classifier__max_depth', 4), ('classifier__n_estimators', 2061), ('classifier__reg_alpha', 20.87578982414735), ('classifier__reg_lambda', 97.94412868470916), ('classifier__subsample', 0.4880218507216868)])",0.8270519077196097,0.8372060780834072,0.8599212511091393,0.8679120341001415,0.8418590386974463,0.8467900619419488,0.014995521369658765,1
56,5.296329641342163,0.07415777538607009,0.03954644203186035,0.004783607335791877,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",0.1,0.01,9,5000,4.020103200741118,26.653429532607614,0.5321362838069099,"OrderedDict([('classifier', XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)), ('classifier__colsample_bytree', 0.1), ('classifier__learning_rate', 0.01), ('classifier__max_depth', 9), ('classifier__n_estimators', 5000), ('classifier__reg_alpha', 4.020103200741118), ('classifier__reg_lambda', 26.653429532607614), ('classifier__subsample', 0.5321362838069099)])",0.8318877551020407,0.8343167701863354,0.8570818544809228,0.8672275828297329,0.8427344708375154,0.8466496866873096,0.013547134776188647,2
20,2.2143912315368652,0.09099435500887632,0.02989931106567383,0.002836806574714012,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",0.1489994218991831,0.01,6,693,1e-09,1.5212082061242116,0.4633777871473249,"OrderedDict([('classifier', XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)), ('classifier__colsample_bytree', 0.1489994218991831), ('classifier__learning_rate', 0.01), ('classifier__max_depth', 6), ('classifier__n_estimators', 693), ('classifier__reg_alpha', 1e-09), ('classifier__reg_lambda', 1.5212082061242116), ('classifier__subsample', 0.4633777871473249)])",0.8306122448979592,0.8348935226264419,0.8523680124223602,0.866693376960146,0.8417196386751422,0.8452573591164099,0.012995908545517078,3
16,0.9848058223724365,0.017348254473333546,0.027536869049072266,0.01188324023380359,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",1.0,0.3184477643787611,10,50,20.130089121701012,100.0,1.0,"OrderedDict([('classifier', XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)), ('classifier__colsample_bytree', 1.0), ('classifier__learning_rate', 0.3184477643787611), ('classifier__max_depth', 10), ('classifier__n_estimators', 50), ('classifier__reg_alpha', 20.130089121701012), ('classifier__reg_lambda', 100.0), ('classifier__subsample', 1.0)])",0.8217779503105591,0.8334627329192545,0.8572925909494232,0.8629149833617129,0.8411453105832497,0.8433187136248399,0.015133747425503824,4
38,1.2984378814697266,0.04181051640666998,0.010647916793823242,0.0009074381833217155,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",0.6066851355662577,0.14143959356916988,7,1117,36.29944476911864,75.13744301309733,0.7128493546607297,"OrderedDict([('classifier', XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)), ('classifier__colsample_bytree', 0.6066851355662577), ('classifier__learning_rate', 0.14143959356916988), ('classifier__max_depth', 7), ('classifier__n_estimators', 1117), ('classifier__reg_alpha', 36.29944476911864), ('classifier__reg_lambda', 75.13744301309733), ('classifier__subsample', 0.7128493546607297)])",0.8193544809228039,0.8354758207630879,0.8608473824312334,0.8612789778861027,0.838580350172856,0.8431074024352169,0.01604898480281961,5
37,0.0649078369140625,0.005751966528392297,0.005979394912719727,0.000894383891520521,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",0.47179747278584694,0.5295994442959534,2,50,1e-09,19.183735234705225,0.9300875365537168,"OrderedDict([('classifier', XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)), ('classifier__colsample_bytree', 0.47179747278584694), ('classifier__learning_rate', 0.5295994442959534), ('classifier__max_depth', 2), ('classifier__n_estimators', 50), ('classifier__reg_alpha', 1e-09), ('classifier__reg_lambda', 19.183735234705225), ('classifier__subsample', 0.9300875365537168)])",0.829902395740905,0.8317768411712512,0.8511590505767525,0.8652632633301058,0.8372142299542767,0.8430631561546582,0.013365513258872324,6
57,4.349822616577148,0.05120443769971884,0.019993019104003907,0.002831499792289553,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",0.1,0.01,6,5000,28.127555612537147,1e-09,0.6669913163235954,"OrderedDict([('classifier', XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)), ('classifier__colsample_bytree', 0.1), ('classifier__learning_rate', 0.01), ('classifier__max_depth', 6), ('classifier__n_estimators', 5000), ('classifier__reg_alpha', 28.127555612537147), ('classifier__reg_lambda', 1e-09), ('classifier__subsample', 0.6669913163235954)])",0.819870230700976,0.8329137089618456,0.8616681455190773,0.8636495164323951,0.8357811977249917,0.8427765598678573,0.017108378997251813,7
1,2.187405729293823,0.03235793126114364,0.01086583137512207,0.002226597094811161,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",0.5846741108649705,0.5409144101184263,2,2198,36.90024939252091,76.31894263157993,0.4565878011047493,"OrderedDict([('classifier', XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)), ('classifier__colsample_bytree', 0.5846741108649705), ('classifier__learning_rate', 0.5409144101184263), ('classifier__max_depth', 2), ('classifier__n_estimators', 2198), ('classifier__reg_alpha', 36.90024939252091), ('classifier__reg_lambda', 76.31894263157993), ('classifier__subsample', 0.4565878011047493)])",0.8195263975155279,0.8340838509316771,0.857769520851819,0.8626590097158692,0.8362384297981487,0.8420554417626084,0.01597736534779102,8
36,7.104118204116821,0.01928570572213038,0.039774608612060544,0.0027386383179124527,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",0.4711216539387285,0.01,4,2316,1e-09,28.383265867434236,0.5731633363205934,"OrderedDict([('classifier', XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)), ('classifier__colsample_bytree', 0.4711216539387285), ('classifier__learning_rate', 0.01), ('classifier__max_depth', 4), ('classifier__n_estimators', 2316), ('classifier__reg_alpha', 1e-09), ('classifier__reg_lambda', 28.383265867434236), ('classifier__subsample', 0.5731633363205934)])",0.8278061224489794,0.8305013309671694,0.8504381100266194,0.8632766852525792,0.8380617820898851,0.8420168061570464,0.013214331112028138,9
5,0.9295993328094483,0.028156417377133106,0.012448501586914063,0.0026065434608267047,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)",0.6393769727683383,0.8225597096659314,7,758,12.067089240639918,82.95912624023977,0.9677148550798642,"OrderedDict([('classifier', XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=0.33949727446068867, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1279267793036371,
              max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=2061, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, ...)), ('classifier__colsample_bytree', 0.6393769727683383), ('classifier__learning_rate', 0.8225597096659314), ('classifier__max_depth', 7), ('classifier__n_estimators', 758), ('classifier__reg_alpha', 12.067089240639918), ('classifier__reg_lambda', 82.95912624023977), ('classifier__subsample', 0.9677148550798642)])",0.8235192990239574,0.8301852262644188,0.8544365572315883,0.8642504980356804,0.8373870859819337,0.8419557333075158,0.015179901077655461,10
